sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept,layer,R,T,B,G,tensor_shape
pair_00_00,pair_00,000000092688,000000089988,statue,juice,0,0.8731992244720459,0.08445467799901962,0.08986946940422058,-0.005414791405200958,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,1,0.8211941719055176,0.1510360836982727,0.18417833745479584,-0.03314225375652313,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,2,0.7614664435386658,0.20087720453739166,0.24030132591724396,-0.039424121379852295,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,3,0.7032813429832458,0.2016594558954239,0.2912346124649048,-0.0895751565694809,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,4,0.680580735206604,0.2716987133026123,0.3212141990661621,-0.049515485763549805,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,5,0.6323193907737732,0.26648199558258057,0.30517297983169556,-0.03869098424911499,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,6,0.5998131632804871,0.25242143869400024,0.29569733142852783,-0.04327589273452759,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,7,0.5829138159751892,0.26021015644073486,0.2813616991043091,-0.02115154266357422,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,8,0.5441447496414185,0.23179081082344055,0.24612657725811005,-0.014335766434669495,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,9,0.5070911645889282,0.21326687932014465,0.21246172487735748,0.0008051544427871704,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,10,0.4385610818862915,0.19714701175689697,0.18219776451587677,0.014949247241020203,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,11,0.3747013807296753,0.1891048401594162,0.15559202432632446,0.033512815833091736,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,12,0.27426597476005554,0.15694379806518555,0.09302566945552826,0.06391812860965729,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,13,0.14345084130764008,0.11001214385032654,0.033340856432914734,0.0766712874174118,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,14,0.13766703009605408,0.14919492602348328,0.032814059406518936,0.11638086661696434,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,15,0.13153943419456482,0.17608432471752167,0.028174472972750664,0.147909851744771,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,16,0.13388541340827942,0.22065451741218567,0.031343258917331696,0.18931125849485397,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,17,0.1445259004831314,0.29601967334747314,0.040681079030036926,0.2553385943174362,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,18,0.16036954522132874,0.3372870087623596,0.051552727818489075,0.28573428094387054,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,19,0.18457716703414917,0.4164537191390991,0.07568719983100891,0.3407665193080902,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,20,0.22929510474205017,0.5625808835029602,0.1266031414270401,0.4359777420759201,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,21,0.29996708035469055,0.8648338317871094,0.25353577733039856,0.6112980544567108,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,22,0.2906888723373413,0.8465238809585571,0.2422100454568863,0.6043138355016708,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,23,0.30525949597358704,0.8491549491882324,0.2536652982234955,0.5954896509647369,"(1, 577, 1024)"
pair_00_00,pair_00,000000092688,000000089988,statue,juice,24,0.3784273564815521,0.8542366027832031,0.32777658104896545,0.5264600217342377,"(1, 577, 1024)"
pair_00_01,pair_00,000000021922,000000051138,statue,juice,0,0.835476279258728,-0.0334458202123642,-0.055142927914857864,0.021697107702493668,"(1, 577, 1024)"
pair_00_01,pair_00,000000021922,000000051138,statue,juice,1,0.7717253565788269,0.1464095562696457,0.18467913568019867,-0.03826957941055298,"(1, 577, 1024)"
pair_00_01,pair_00,000000021922,000000051138,statue,juice,2,0.6981272101402283,0.18791955709457397,0.22499112784862518,-0.03707157075405121,"(1, 577, 1024)"
pair_00_01,pair_00,000000021922,000000051138,statue,juice,3,0.6266350746154785,0.20403943955898285,0.31690600514411926,-0.11286656558513641,"(1, 577, 1024)"
pair_00_01,pair_00,000000021922,000000051138,statue,juice,4,0.6049823760986328,0.2586793303489685,0.32150349020957947,-0.06282415986061096,"(1, 577, 1024)"
pair_00_01,pair_00,000000021922,000000051138,statue,juice,5,0.5471217632293701,0.2575780749320984,0.3069402575492859,-0.0493621826171875,"(1, 577, 1024)"
pair_00_01,pair_00,000000021922,000000051138,statue,juice,6,0.5182468295097351,0.2399548888206482,0.2948971092700958,-0.05494222044944763,"(1, 577, 1024)"
pair_00_01,pair_00,000000021922,000000051138,statue,juice,7,0.5014006495475769,0.2519144117832184,0.2719171643257141,-0.020002752542495728,"(1, 577, 1024)"
pair_00_01,pair_00,000000021922,000000051138,statue,juice,8,0.45998191833496094,0.22461172938346863,0.23016804456710815,-0.005556315183639526,"(1, 577, 1024)"
