block,G_mean,M_mean,R_mean,T_mean,B_mean,n_states,all_states_complete
embedding,-0.012958732667029838,-0.7105413831246551,0.8536786019802094,0.1431372188555542,0.15609595152258404,1,True
early,-0.028937997709726916,-0.4516061374393757,0.7005909319780766,0.24898479453870093,0.27792279224842786,8,True
middle,0.14683778248087037,-0.0446099463372957,0.307541691994993,0.2629317456576973,0.11609396317682691,8,True
deep,0.4952148743055295,0.4275174746802077,0.26724706839304413,0.6947645430732519,0.1995496687677223,8,True
