pair_id,layer,R_mean,R_median,T_mean,T_median,B_mean,B_median,G_mean,G_median,M_mean,M_median,n_samples,G_positive_count,G_positive_pct,M_positive_count,M_positive_pct,total_pair_samples,coverage_pct
pair_00,0,0.8463035747408867,0.8625776767730713,0.12424760521389538,0.11267333477735514,0.13604045426473016,0.1168365143239498,-0.011792849050834787,-0.005331695079803453,-0.7220559695269912,-0.7480858080089092,16,2,12.5,0,0.0,16,100.0
pair_00,1,0.8056812845170498,0.8178718686103821,0.17153609311208123,0.149170346558094,0.21499461866915223,0.19436401128768915,-0.04345852555707098,-0.04299264401197436,-0.6341451914049685,-0.6455365046858788,16,0,0.0,0,0.0,16,100.0
pair_00,2,0.7615426816046238,0.7679330408573151,0.21204719319939608,0.19867310672998426,0.2656769258901477,0.25797460973262787,-0.05362973269075157,-0.05412373691797265,-0.5494954884052277,-0.5503048524260521,16,0,0.0,0,0.0,16,100.0
pair_00,3,0.7142517827451229,0.7089461386203766,0.21967508643865583,0.20994330197572705,0.3176552290096879,0.3126562386751175,-0.09798014257103206,-0.1077701821923256,-0.49457669630646706,-0.4864131212234497,16,0,0.0,0,0.0,16,100.0
pair_00,4,0.6970135271549225,0.6728366613388062,0.2764380779117346,0.2739567458629608,0.3367617912590503,0.3311727792024612,-0.06032371334731576,-0.06360651552677149,-0.4205754492431879,-0.4058816581964493,16,0,0.0,0,0.0,16,100.0
pair_00,5,0.6551739722490311,0.6233797371387482,0.26756350230425596,0.26672989130020136,0.3166573606431484,0.3035385757684707,-0.04909385833889245,-0.04697486758232117,-0.3876104699447751,-0.3659321516752243,16,0,0.0,0,0.0,16,100.0
pair_00,6,0.6260327361524105,0.595203310251236,0.2522742738947272,0.25120060145854944,0.30232872255146503,0.29125289618968964,-0.05005444865673782,-0.04493825137615204,-0.37375846225768333,-0.3549661934375763,16,0,0.0,0,0.0,16,100.0
pair_00,7,0.607161957770586,0.581232488155365,0.2625915799289942,0.2618270069360733,0.28672931529581547,0.27404116094112396,-0.024137735366821296,-0.020577147603035,-0.34457037784159184,-0.33080172538757324,16,2,12.5,0,0.0,16,100.0
pair_00,8,0.5693532060831785,0.5468911826610565,0.2386442739516496,0.2365799322724342,0.2540244981646537,0.2442005351185798,-0.015380224213004116,-0.009946040809154497,-0.3307089321315289,-0.3197993189096452,16,4,25.0,0,0.0,16,100.0
pair_00,9,0.5318037215620279,0.5152010023593903,0.22492330428212878,0.22341976314783096,0.22891927696764466,0.21849162131547925,-0.0039959726855158875,-0.0002770498394966542,-0.3068804172798991,-0.2974148914217949,16,7,43.75,0,0.0,16,100.0
pair_00,10,0.46901380456984043,0.4582042694091797,0.2109745098277926,0.20790271461009974,0.20200292021036143,0.19073367118835444,0.008971589617431166,0.010101266205310794,-0.2580392947420478,-0.249055914580822,16,11,68.75,0,0.0,16,100.0
pair_00,11,0.41515602730214596,0.40624798834323883,0.20465680118650195,0.1954370513558387,0.1721626706421375,0.15905765444040296,0.03249413054436444,0.03175537288188929,-0.210499226115644,-0.20248697698116305,16,15,93.75,0,0.0,16,100.0
pair_00,12,0.32133570127189154,0.30517740547657013,0.20568451471626756,0.1684601902961731,0.12452692864462729,0.10595631599426264,0.08115758607164025,0.062215100973844494,-0.11565118655562401,-0.11305178701877594,16,15,93.75,1,6.25,16,100.0
pair_00,13,0.18663386674597854,0.15238875895738596,0.2344669145531952,0.12176114320755001,0.06463066372089082,0.03868056833744045,0.16983625083230436,0.08535853959619999,0.047833047807216644,-0.0265108272433281,16,16,100.0,5,31.25,16,100.0
pair_00,14,0.1726355943828821,0.1418305486440658,0.2637681690976023,0.15983045101165766,0.06242951657623048,0.03805229440331455,0.20133865252137184,0.12445688620209688,0.09113257471472025,0.014491617679595947,16,16,100.0,10,62.5,16,100.0
pair_00,15,0.1606679488904774,0.13538229465484614,0.2910611708648502,0.21039126813411707,0.0566097487462684,0.033143244683742454,0.23445142211858183,0.1771038761362433,0.13039322197437286,0.05741017684340475,16,16,100.0,11,68.75,16,100.0
pair_00,16,0.15919887553900477,0.1344553083181381,0.3380372505635023,0.2749264985322952,0.061493872897699434,0.037695825099945054,0.27654337766580284,0.22580992802977568,0.1788383750244975,0.11128707602620125,16,16,100.0,16,100.0,16,100.0
pair_00,17,0.168742932844907,0.14799866825342176,0.40417503006756306,0.35971207916736603,0.06959604751318689,0.04843702353537074,0.3345789825543761,0.28200074657797813,0.235432097222656,0.17275509238243097,16,16,100.0,16,100.0,16,100.0
pair_00,18,0.18219375051558015,0.164992444217205,0.4428123254328966,0.4116600900888443,0.08163130003958936,0.061713820323348004,0.3611810253933072,0.3154276516288519,0.26061857491731644,0.20496667921543124,16,16,100.0,16,100.0,16,100.0
pair_00,19,0.204963699914515,0.1862683519721031,0.5118682011961937,0.49695885181427,0.10511405253782863,0.08704411238431925,0.40675414865836507,0.3668789453804493,0.3069045012816787,0.2627386003732681,16,16,100.0,16,100.0,16,100.0
pair_00,20,0.2426859140396118,0.2383640557527542,0.6347897984087467,0.6239657700061798,0.15395074337720868,0.14044452458620071,0.480839055031538,0.4506933279335499,0.3921038843691349,0.35648659616708755,16,16,100.0,16,100.0,16,100.0
pair_00,21,0.34573635365813965,0.34500060975551605,0.8871874026954174,0.8833094835281372,0.302763095125556,0.2948414385318756,0.5844243075698614,0.5798052251338959,0.5414510490372777,0.5341800302267075,16,16,100.0,16,100.0,16,100.0
pair_00,22,0.33087133057415485,0.3319092243909836,0.8699651211500168,0.8660105168819427,0.28530082106590265,0.27823504805564875,0.5846643000841141,0.5754312723875046,0.5390937905758619,0.5241172462701797,16,16,100.0,16,100.0,16,100.0
pair_00,23,0.3428415395319462,0.3408122062683105,0.8706358447670937,0.8637274503707886,0.29599771834909916,0.2866828739643097,0.5746381264179945,0.5658118724822998,0.5277943052351475,0.5102883577346802,16,16,100.0,16,100.0,16,100.0
pair_00,24,0.41456702537834644,0.4108459949493408,0.874645471572876,0.8689709305763245,0.36850433610379696,0.36354987323284144,0.506141135469079,0.497002974152565,0.46007844619452953,0.4487683773040772,16,16,100.0,16,100.0,16,100.0
pair_01,0,0.8923280909657478,0.8956986963748932,0.09219807625049725,0.12824240699410436,0.0963339595182333,0.13146061450242996,-0.00413588326773605,-0.0014627724885939997,-0.8001300147152506,-0.7768299877643585,16,8,50.0,0,0.0,16,100.0
pair_01,1,0.8540579192340374,0.8419546782970428,0.14014749228954312,0.1494425609707832,0.16269890498369927,0.16187363117933268,-0.022551412694156156,-0.021903559565544087,-0.7139104269444942,-0.7255110293626785,16,0,0.0,0,0.0,16,100.0
pair_01,2,0.817512508481741,0.8012968897819519,0.19849969586357472,0.20119064301252365,0.2268908973783254,0.2232892513275146,-0.028391201514750698,-0.0246153026819229,-0.6190128126181662,-0.627815954387188,16,1,6.25,0,0.0,16,100.0
pair_01,3,0.7706849910318851,0.7605132758617401,0.21865964960306877,0.22107787430286402,0.26863302104175085,0.26746703684329987,-0.04997337143868209,-0.05188530683517456,-0.5520253414288163,-0.5366193056106567,16,0,0.0,0,0.0,16,100.0
pair_01,4,0.7549570985138416,0.7488979697227478,0.2896335031837225,0.2929677516222,0.30703769624233246,0.3056671470403671,-0.017404193058609956,-0.013383552432060214,-0.46532359533011913,-0.46532317996025085,16,2,12.5,0,0.0,16,100.0
pair_01,5,0.7179110683500767,0.7084092497825623,0.28373381309211254,0.28455702960491175,0.2911676336079836,0.2904529571533203,-0.00743382051587105,-0.009270563721656772,-0.43417725525796413,-0.43698735535144806,16,5,31.25,0,0.0,16,100.0
pair_01,6,0.6873112730681896,0.678916335105896,0.26631621457636356,0.26817113161087036,0.28033911250531673,0.28713636100292206,-0.014022897928953162,-0.020234383642673437,-0.42099505849182606,-0.41361160576343536,16,2,12.5,0,0.0,16,100.0
pair_01,7,0.6639821082353592,0.6502903699874878,0.2750962041318416,0.27922786772251124,0.27545713819563383,0.27240630984306335,-0.0003609340637922235,-0.004734650254249573,-0.38888590410351753,-0.3839720934629441,16,5,31.25,0,0.0,16,100.0
pair_01,8,0.6283619478344917,0.6084661185741425,0.25256528705358505,0.25544303655624384,0.24683525227010247,0.24764420092105865,0.005730034783482562,0.001368284225463895,-0.3757966607809067,-0.36686914414167404,16,8,50.0,0,0.0,16,100.0
pair_01,9,0.5834515877068043,0.5636516511440277,0.24016801733523604,0.24077042937278745,0.22494804766029117,0.2259301170706749,0.01521996967494487,0.013632684946060139,-0.3432835703715682,-0.3277842476963997,16,12,75.0,0,0.0,16,100.0
pair_01,10,0.5190874487161636,0.49563704431056976,0.2350654825568199,0.24166851490736005,0.20158828515559432,0.2041272073984146,0.03347719740122557,0.03179819136857989,-0.2840219661593437,-0.26231033354997635,16,15,93.75,0,0.0,16,100.0
pair_01,11,0.45745077915489674,0.4415125250816345,0.2359522925689816,0.23950076848268503,0.17498703021556133,0.17638036608695978,0.06096526235342026,0.05652791261672971,-0.2214984865859151,-0.20957813411951065,16,16,100.0,0,0.0,16,100.0
pair_01,12,0.34276882000267506,0.3213333487510681,0.24178381636738774,0.2202477157115936,0.11943671479821201,0.12432435527443886,0.12234710156917573,0.08775128796696666,-0.1009850036352873,-0.12239497900009155,16,16,100.0,2,12.5,16,100.0
pair_01,13,0.18244416778907174,0.17705168575048444,0.2400227729231119,0.17059138417243955,0.0484714624471962,0.04918014816939825,0.1915513104759157,0.11780531704425809,0.05757860513404014,-0.01708698272705074,16,16,100.0,7,43.75,16,100.0
pair_01,14,0.16226867842487985,0.16114918887615198,0.27939737867563963,0.21997071057558054,0.04565177520271386,0.0458591170608997,0.23374560347292572,0.1716233845800161,0.11712870025075973,0.05004904419183731,16,16,100.0,13,81.25,16,100.0
pair_01,15,0.14433202333748338,0.1435016170144081,0.31074187392368907,0.26076559722423553,0.03983237175270911,0.039227569475769955,0.27090950217098,0.21586073376238346,0.16640985058620572,0.11076244711875916,16,16,100.0,14,87.5,16,100.0
pair_01,16,0.14456850918941197,0.14150452613830566,0.36057693883776665,0.315206229686737,0.04658406274393195,0.046892274171113954,0.3139928760938347,0.2664039507508278,0.21600842964835468,0.16676945239305496,16,16,100.0,14,87.5,16,100.0
pair_01,17,0.15349907847121355,0.14833714812994,0.4339605774730444,0.4083932042121887,0.05733274226076895,0.05531949736177915,0.37662783521227544,0.3473572731018067,0.2804614990018308,0.25458939373493195,16,16,100.0,15,93.75,16,100.0
pair_01,18,0.16548432549461717,0.1611118167638778,0.48639645613729954,0.46657755970954895,0.07213161792606111,0.07169817015528675,0.4142648382112384,0.39144218713045126,0.32091213064268237,0.3020899146795274,16,16,100.0,15,93.75,16,100.0
pair_01,19,0.18795149028301233,0.18185479938983912,0.5585932526737452,0.5512474477291107,0.09717328287661071,0.09541923925280565,0.46141996979713445,0.4588926881551743,0.3706417623907328,0.37404927611351024,16,16,100.0,15,93.75,16,100.0
pair_01,20,0.22527491021901366,0.21191862970590591,0.6657615136355162,0.680698037147522,0.14373628096655008,0.136366568505764,0.522025232668966,0.5314363390207291,0.4404866034165025,0.45636845380067825,16,16,100.0,16,100.0,16,100.0
pair_01,21,0.3139523593708873,0.3092171847820282,0.8803307749330997,0.8943080008029938,0.27326751220971346,0.26210397481918335,0.6070632627233863,0.6178946048021317,0.5663784155622125,0.5783408433198929,16,16,100.0,16,100.0,16,100.0
pair_01,22,0.3054438503459096,0.28803928196430206,0.8671888262033463,0.8843524754047394,0.2609231434762478,0.24577128887176508,0.6062656827270985,0.627490408718586,0.5617449758574367,0.5835344046354294,16,16,100.0,16,100.0,16,100.0
pair_01,23,0.3154328353703022,0.30825233459472656,0.8707174882292747,0.8878187835216522,0.2705053091049194,0.2548280507326126,0.6002121791243553,0.6194946095347404,0.5552846528589725,0.5754157900810242,16,16,100.0,16,100.0,16,100.0
pair_01,24,0.4005740340799093,0.3926803916692734,0.8791181296110153,0.8920424580574036,0.35474663972854614,0.3393174707889557,0.5243714898824692,0.5337959825992584,0.478544095531106,0.4874177724123001,16,16,100.0,16,100.0,16,100.0
pair_02,0,0.8820545934140682,0.8956121802330017,0.14448076288681472,0.12550712376832954,0.1512015160406008,0.13989617675542831,-0.006720753153786067,-0.005494967103004449,-0.7375738305272534,-0.7376490607857704,16,3,18.75,0,0.0,16,100.0
