layer,Emb.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Emb.,1.1920928955078125e-07,-0.0022867321968077503,0.022029995918273926,0.085152268409729,0.12872225046157837,0.12165623903274542,0.1108224093914032,0.11005559563636785,0.09096011519432068,0.06542766094207769,-0.01061642169952387,-0.006071418523788508,-0.047535717487335205,-0.08835110068321231,-0.0757036358118057,-0.0903515070676803,-0.1035382896661758,-0.113805003464222,-0.11175544559955598,-0.1110371127724647,-0.0945361852645874,-0.0641917632892728,-0.0721621923148632,-0.0770364459604025,-0.08147882670164111
1,-0.0022867321968077503,-1.1920928955078125e-07,0.002273082733154186,0.04310852289199829,0.08297812938690186,0.0798497200012207,0.05795484781265259,0.05395984649658203,0.03128701448440552,-0.0013356804847717285,-0.07743251323699951,-0.0838625431060791,-0.12996765971183777,-0.1797546297311783,-0.1609300076961517,-0.16858407855033883,-0.1815414428710938,-0.1824724599719047,-0.1772389635443688,-0.1720441058278084,-0.1501101478934288,-0.1182504007592797,-0.1274992804974317,-0.1320955287665129,-0.1355235762894154
2,0.022029995918273926,0.002273082733154186,5.960464477539063e-08,0.025013744831085205,0.052814364433288574,0.053554654121398926,0.035176098346710205,0.030840933322906494,0.009820938110351562,-0.02050197124481201,-0.09887343645095825,-0.1110687255859375,-0.15284761786460876,-0.2063746154308319,-0.1997368335723877,-0.2085518389940262,-0.23405751585960388,-0.2414192408323288,-0.24381481856107717,-0.2413873597979546,-0.2472911924123764,-0.2264619208872319,-0.23815423995256418,-0.2423565648496151,-0.2442317344248295
3,0.085152268409729,0.04310852289199829,0.025013744831085205,-1.1920928955078125e-07,0.010976254940032737,0.02008640766143799,0.016877710819244385,0.0215337872505188,0.003620743751525879,-0.0229872465133667,-0.10483866930007935,-0.13798224925994873,-0.1724915206432343,-0.21556678414344788,-0.23703652620315552,-0.2473259866237641,-0.2883350849151612,-0.3000827431678772,-0.3084133267402649,-0.3056635856628418,-0.3356550261378288,-0.3406756911426783,-0.3532584793865681,-0.35541809350252157,-0.35451045632362366
4,0.12872225046157837,0.08297812938690186,0.052814364433288574,0.010976254940032737,-1.1920928955078125e-07,-0.001494765281677135,-0.007105767726898193,-0.002410590648651123,-0.010973691940307728,-0.0251123309135437,-0.0937151312828064,-0.13201069831848145,-0.15586471557617188,-0.202925056219101,-0.24381199479103088,-0.259467214345932,-0.3125145733356476,-0.3347151875495912,-0.3506849855184556,-0.3497228026390075,-0.4049400091171265,-0.4103815667331219,-0.428196731954813,-0.4291057512164116,-0.4265310764312744
5,0.12165623903274542,0.0798497200012207,0.053554654121398926,0.02008640766143799,-0.001494765281677135,-5.960464477539063e-08,-0.00630837678909324,-0.0036351680755615234,-0.005747973918914795,-0.01463860273361206,-0.07248854637145996,-0.12141650915145874,-0.1360410451889038,-0.1754150688648224,-0.22926485538482666,-0.254078894853592,-0.3171885907649994,-0.34399089217185985,-0.36645737290382385,-0.366700440645218,-0.43841540813446045,-0.4453379325568676,-0.46638110280036926,-0.46571066975593567,-0.46185865253210073
6,0.1108224093914032,0.05795484781265259,0.035176098346710205,0.016877710819244385,-0.007105767726898193,-0.00630837678909324,0.0,0.00017774105072021484,-0.001120924949645996,-0.00706106424331665,-0.06453442573547363,-0.11775553226470947,-0.13046926259994507,-0.16391855478286743,-0.22289994359016424,-0.2578344643115998,-0.328799918293953,-0.36127498745918274,-0.3879545331001282,-0.39075405895709997,-0.4704702198505402,-0.4638630263507367,-0.4886867180466652,-0.4895410165190697,-0.48636465892195707
7,0.11005559563636785,0.05395984649658203,0.030840933322906494,0.0215337872505188,-0.002410590648651123,-0.0036351680755615234,0.00017774105072021484,5.960464477539063e-08,-0.0012985467910765491,-0.008348345756530873,-0.0646786093711853,-0.1213563084602356,-0.13535350561141968,-0.17212533950805664,-0.23519092798233038,-0.27553036808967596,-0.35001823306083685,-0.38469380140304565,-0.4127715975046158,-0.41371387243270885,-0.4868757650256157,-0.4624609462916851,-0.4900175482034683,-0.49137618765234947,-0.4887718632817269
8,0.09096011519432068,0.03128701448440552,0.009820938110351562,0.003620743751525879,-0.010973691940307728,-0.005747973918914795,-0.001120924949645996,-0.0012985467910765491,0.0,-0.00936877727508545,-0.06269013881683339,-0.12417292594909668,-0.14437121152877808,-0.1836322546005249,-0.25089749693870544,-0.29528212547302246,-0.3725081682205201,-0.4091622829437257,-0.43734343349933635,-0.4370480626821518,-0.5043980702757835,-0.4725878052413464,-0.5024264380335809,-0.5056260377168655,-0.503382720053196
9,0.06542766094207769,-0.0013356804847717285,-0.02050197124481201,-0.0229872465133667,-0.0251123309135437,-0.01463860273361206,-0.00706106424331665,-0.008348345756530873,-0.00936877727508545,1.7881393432617188e-07,-0.04247617721557617,-0.10582911968231212,-0.14046168327331543,-0.19376152753829956,-0.27026689052581787,-0.3248371481895447,-0.4101213216781616,-0.4545326977968216,-0.4847918301820755,-0.4851462244987488,-0.549246534705162,-0.4989118017256261,-0.5334475301206112,-0.5399771444499494,-0.53935631737113
