sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept,layer,R,T,B,G,tensor_shape,M,normalized_target_distance_reduction
pair_00_00,pair_00,000000092688,000000089988,statue,juice,0,0.8731992244720459,0.0844546779990196,0.0898694694042205,-0.005414791405200903,"(1, 577, 1024)",-0.7887445464730263,-0.005949466832693034
pair_00_00,pair_00,000000092688,000000089988,statue,juice,1,0.8211941719055176,0.1510360836982727,0.1841783374547958,-0.033142253756523105,"(1, 577, 1024)",-0.6701580882072449,-0.04062438554662271
pair_00_00,pair_00,000000092688,000000089988,statue,juice,2,0.7614664435386658,0.2008772045373916,0.2403013259172439,-0.039424121379852295,"(1, 577, 1024)",-0.5605892390012741,-0.05189441909642943
pair_00_00,pair_00,000000092688,000000089988,statue,juice,3,0.7032813429832458,0.2016594558954239,0.2912346124649048,-0.0895751565694809,"(1, 577, 1024)",-0.501621887087822,-0.12638195677274872
pair_00_00,pair_00,000000092688,000000089988,statue,juice,4,0.680580735206604,0.2716987133026123,0.3212141990661621,-0.049515485763549805,"(1, 577, 1024)",-0.4088820219039917,-0.07294714429121675
pair_00_00,pair_00,000000092688,000000089988,statue,juice,5,0.6323193907737732,0.2664819955825805,0.3051729798316955,-0.03869098424911499,"(1, 577, 1024)",-0.3658373951911927,-0.05568434031212987
pair_00_00,pair_00,000000092688,000000089988,statue,juice,6,0.5998131632804871,0.2524214386940002,0.2956973314285278,-0.04327589273452759,"(1, 577, 1024)",-0.34739172458648687,-0.06144502167271851
pair_00_00,pair_00,000000092688,000000089988,statue,juice,7,0.5829138159751892,0.2602101564407348,0.2813616991043091,-0.021151542663574274,"(1, 577, 1024)",-0.3227036595344544,-0.02943280734858075
pair_00_00,pair_00,000000092688,000000089988,statue,juice,8,0.5441447496414185,0.2317908108234405,0.24612657725811,-0.014335766434669495,"(1, 577, 1024)",-0.31235393881797796,-0.019016145154088757
pair_00_00,pair_00,000000092688,000000089988,statue,juice,9,0.5070911645889282,0.2132668793201446,0.2124617248773574,0.0008051544427871982,"(1, 577, 1024)",-0.2938242852687836,0.0010223686495260337
pair_00_00,pair_00,000000092688,000000089988,statue,juice,10,0.4385610818862915,0.1971470117568969,0.1821977645158767,0.014949247241020203,"(1, 577, 1024)",-0.24141407012939461,0.018279782803687902
pair_00_00,pair_00,000000092688,000000089988,statue,juice,11,0.3747013807296753,0.1891048401594162,0.1555920243263244,0.03351281583309179,"(1, 577, 1024)",-0.1855965405702591,0.03968794326741762
pair_00_00,pair_00,000000092688,000000089988,statue,juice,12,0.2742659747600555,0.1569437980651855,0.0930256694555282,0.06391812860965729,"(1, 577, 1024)",-0.11732217669487,0.07047402165316649
pair_00_00,pair_00,000000092688,000000089988,statue,juice,13,0.14345084130764,0.1100121438503265,0.0333408564329147,0.0766712874174118,"(1, 577, 1024)",-0.033438697457313496,0.0793157421906607
pair_00_00,pair_00,000000092688,000000089988,statue,juice,14,0.137667030096054,0.1491949260234832,0.0328140594065189,0.11638086661696428,"(1, 577, 1024)",0.0115278959274292,0.12032936143132011
pair_00_00,pair_00,000000092688,000000089988,statue,juice,15,0.1315394341945648,0.1760843247175216,0.0281744729727506,0.147909851744771,"(1, 577, 1024)",0.04454489052295682,0.1521979487379978
pair_00_00,pair_00,000000092688,000000089988,statue,juice,16,0.1338854134082794,0.2206545174121856,0.0313432589173316,0.18931125849485403,"(1, 577, 1024)",0.08676910400390622,0.1954368874605267
pair_00_00,pair_00,000000092688,000000089988,statue,juice,17,0.1445259004831314,0.2960196733474731,0.0406810790300369,0.2553385943174362,"(1, 577, 1024)",0.15149377286434168,0.26616653621223746
pair_00_00,pair_00,000000092688,000000089988,statue,juice,18,0.1603695452213287,0.3372870087623596,0.051552727818489,0.2857342809438706,"(1, 577, 1024)",0.1769174635410309,0.30126533052982163
pair_00_00,pair_00,000000092688,000000089988,statue,juice,19,0.1845771670341491,0.4164537191390991,0.0756871998310089,0.3407665193080902,"(1, 577, 1024)",0.23187655210495003,0.368670129036175
pair_00_00,pair_00,000000092688,000000089988,statue,juice,20,0.2292951047420501,0.5625808835029602,0.1266031414270401,0.4359777420759201,"(1, 577, 1024)",0.33328577876091015,0.49917484565752
pair_00_00,pair_00,000000092688,000000089988,statue,juice,21,0.2999670803546905,0.8648338317871094,0.2535357773303985,0.6112980544567108,"(1, 577, 1024)",0.5648667514324188,0.8189247868712421
pair_00_00,pair_00,000000092688,000000089988,statue,juice,22,0.2906888723373413,0.8465238809585571,0.2422100454568863,0.6043138355016708,"(1, 577, 1024)",0.5558350086212158,0.7974687865399633
pair_00_00,pair_00,000000092688,000000089988,statue,juice,23,0.305259495973587,0.8491549491882324,0.2536652982234955,0.5954896509647369,"(1, 577, 1024)",0.5438954532146454,0.797885519120697
pair_00_00,pair_00,000000092688,000000089988,statue,juice,24,0.3784273564815521,0.8542366027832031,0.3277765810489654,0.5264600217342377,"(1, 577, 1024)",0.475809246301651,0.7831622744648614
pair_00_01,pair_00,000000021922,000000051138,statue,juice,0,0.835476279258728,-0.0334458202123642,-0.0551429279148578,0.021697107702493605,"(1, 577, 1024)",-0.8689220994710922,0.020563193031460474
pair_00_01,pair_00,000000021922,000000051138,statue,juice,1,0.7717253565788269,0.1464095562696457,0.1846791356801986,-0.038269579410552895,"(1, 577, 1024)",-0.6253158003091812,-0.04693805970791646
pair_00_01,pair_00,000000021922,000000051138,statue,juice,2,0.6981272101402283,0.1879195570945739,0.2249911278486251,-0.03707157075405121,"(1, 577, 1024)",-0.5102076530456544,-0.047833737246314234
pair_00_01,pair_00,000000021922,000000051138,statue,juice,3,0.6266350746154785,0.2040394395589828,0.3169060051441192,-0.11286656558513641,"(1, 577, 1024)",-0.4225956350564957,-0.1652284552859362
pair_00_01,pair_00,000000021922,000000051138,statue,juice,4,0.6049823760986328,0.2586793303489685,0.3215034902095794,-0.0628241598606109,"(1, 577, 1024)",-0.3463030457496643,-0.09259319532832459
pair_00_01,pair_00,000000021922,000000051138,statue,juice,5,0.5471217632293701,0.2575780749320984,0.3069402575492859,-0.0493621826171875,"(1, 577, 1024)",-0.28954368829727173,-0.07122356067406097
pair_00_01,pair_00,000000021922,000000051138,statue,juice,6,0.5182468295097351,0.2399548888206482,0.2948971092700958,-0.05494222044944763,"(1, 577, 1024)",-0.2782919406890869,-0.07792085548333645
pair_00_01,pair_00,000000021922,000000051138,statue,juice,7,0.5014006495475769,0.2519144117832184,0.2719171643257141,-0.020002752542495728,"(1, 577, 1024)",-0.24948623776435852,-0.027473182394103478
pair_00_01,pair_00,000000021922,000000051138,statue,juice,8,0.4599819183349609,0.2246117293834686,0.2301680445671081,-0.005556315183639499,"(1, 577, 1024)",-0.23537018895149228,-0.0072175689050411945
pair_00_01,pair_00,000000021922,000000051138,statue,juice,9,0.4216864705085754,0.2029042392969131,0.1969822496175766,0.005921989679336492,"(1, 577, 1024)",-0.2187822312116623,0.007374668463450835
pair_00_01,pair_00,000000021922,000000051138,statue,juice,10,0.3526326417922973,0.1852062344551086,0.1628228425979614,0.02238339185714719,"(1, 577, 1024)",-0.16742640733718872,0.026736744617600675
pair_00_01,pair_00,000000021922,000000051138,statue,juice,11,0.3224011063575744,0.1779743731021881,0.1331991702318191,0.04477520287036901,"(1, 577, 1024)",-0.1444267332553863,0.05165569913257212
pair_00_01,pair_00,000000021922,000000051138,statue,juice,12,0.2339114844799041,0.1474662572145462,0.0752685219049453,0.0721977353096009,"(1, 577, 1024)",-0.08644522726535789,0.07807427022850796
pair_00_01,pair_00,000000021922,000000051138,statue,juice,13,0.1206821799278259,0.1000567972660064,0.0215999968349933,0.07845680043101311,"(1, 577, 1024)",-0.0206253826618195,0.08018887998488836
pair_00_01,pair_00,000000021922,000000051138,statue,juice,14,0.115222729742527,0.1254364848136901,0.0222919881343841,0.103144496679306,"(1, 577, 1024)",0.010213755071163108,0.10549621709910159
pair_00_01,pair_00,000000021922,000000051138,statue,juice,15,0.1097704842686653,0.1746153831481933,0.0205398760735988,0.1540755070745945,"(1, 577, 1024)",0.064844898879528,0.1573065644132053
pair_00_01,pair_00,000000021922,000000051138,statue,juice,16,0.1155118718743324,0.2342744916677475,0.0278718285262584,0.20640266314148908,"(1, 577, 1024)",0.1187626197934151,0.21232042152279534
pair_00_01,pair_00,000000021922,000000051138,statue,juice,17,0.1318906545639038,0.3157015740871429,0.040312685072422,0.2753888890147209,"(1, 577, 1024)",0.18381091952323908,0.2869568918241906
pair_00_01,pair_00,000000021922,000000051138,statue,juice,18,0.158659279346466,0.3701169490814209,0.0580200441181659,0.312096904963255,"(1, 577, 1024)",0.2114576697349549,0.3313201125082174
pair_00_01,pair_00,000000021922,000000051138,statue,juice,19,0.185446560382843,0.4621694087982178,0.0838772878050804,0.37829212099313736,"(1, 577, 1024)",0.27672284841537476,0.4129273469127242
pair_00_01,pair_00,000000021922,000000051138,statue,juice,20,0.2379991114139557,0.5865416526794434,0.137526735663414,0.44901491701602936,"(1, 577, 1024)",0.34854254126548767,0.5206131431348326
pair_00_01,pair_00,000000021922,000000051138,statue,juice,21,0.3429272770881653,0.8601192235946655,0.2892835140228271,0.5708357095718384,"(1, 577, 1024)",0.5171919465065002,0.8031834364823961
pair_00_01,pair_00,000000021922,000000051138,statue,juice,22,0.3306279480457306,0.8411078453063965,0.2728171050548553,0.5682907402515411,"(1, 577, 1024)",0.5104798972606659,0.7814962978390881
pair_00_01,pair_00,000000021922,000000051138,statue,juice,23,0.3413616716861725,0.8472172021865845,0.2837401926517486,0.5634770095348358,"(1, 577, 1024)",0.505855530500412,0.7866936044072464
pair_00_01,pair_00,000000021922,000000051138,statue,juice,24,0.4140165746212005,0.8536038994789124,0.356404036283493,0.49719986319541937,"(1, 577, 1024)",0.43958732485771185,0.7725341537636297
pair_00_02,pair_00,000000078682,000000062452,statue,juice,0,0.8658443689346313,0.1638373434543609,0.1814573258161544,-0.01761998236179349,"(1, 577, 1024)",-0.7020070254802704,-0.021526040019064444
pair_00_02,pair_00,000000078682,000000062452,statue,juice,1,0.8118113279342651,0.2523263096809387,0.2982416152954101,-0.04591530561447138,"(1, 577, 1024)",-0.5594850182533264,-0.0654289376731847
pair_00_02,pair_00,000000078682,000000062452,statue,juice,2,0.7509565949440002,0.2743003070354461,0.3358347713947296,-0.0615344643592835,"(1, 577, 1024)",-0.47665628790855413,-0.09264933138475838
pair_00_02,pair_00,000000078682,000000062452,statue,juice,3,0.6786736845970154,0.2625405192375183,0.3744292855262756,-0.11188876628875727,"(1, 577, 1024)",-0.41613316535949707,-0.1788587024616174
pair_00_02,pair_00,000000078682,000000062452,statue,juice,4,0.6436899304389954,0.308723896741867,0.3842602372169494,-0.0755363404750824,"(1, 577, 1024)",-0.33496603369712835,-0.12267575531206491
